10001	10	515
6001	31	375
2001	26	3622
2002	22	1326
1	23	4227
2003	12	411
8001	14	3157
6002	31	3903
8002	16	1009
2	7	634
3	6	3799
4001	32	518
2004	23	4133
8003	12	4981
8004	13	1179
4002	5	1376
6003	14	923
8005	26	3538
4	7	3752
6004	20	4181
16001	20	3486
16002	22	2982
12001	32	3832
14001	14	4120
10002	2	2870
16003	19	2827
8006	25	3829
10003	28	1765
4003	19	3554
8007	22	344
16004	6	2713
16005	16	1588
12002	4	1485
12003	23	91
16006	4	1035
2005	24	3271
4004	21	410
4005	25	3870
8008	31	3320
8009	5	4409
6005	12	3976
16007	15	1513
12004	14	4913
18001	21	2950
2006	23	1327
16008	29	654
2007	26	1347
4006	1	3472
2008	5	349
5	24	250
12005	1	4212
10004	23	2327
18002	8	4028
8010	18	3072
8011	2	4631
6	32	4302
4007	22	4810
16009	8	1650
12006	31	1925
16010	15	3768
16011	24	4434
14002	5	2420
6006	4	3347
12007	24	2372
2009	13	3092
8012	3	2012
7	12	233
8	7	1193
9	9	1579
12008	28	1216
16012	26	4273
10	7	4871
4008	20	4846
14003	31	75
14004	32	4123
4009	25	4638
16013	8	1404
4010	6	48
18003	32	1500
18004	16	2984
14005	4	638
4011	32	4969
8013	23	1526
4012	19	716
16014	1	1645
12009	27	4616
2010	9	1602
16015	8	1133
6007	18	1658
14006	30	4046
6008	17	533
12010	10	1769
8014	24	4614
2011	5	4854
18005	4	2959
4013	12	4416
2012	21	1240
12011	4	2753
4014	17	4673
4015	3	1019
11	7	4945
4016	8	1167
14007	16	411
10005	26	357
2013	3	1734
2014	18	2698
16016	32	3441
14008	19	632
16017	25	890
16018	10	2017
12	23	2862
4017	28	4487
6009	29	1145
12012	16	1931
8015	15	1948
14009	16	1688
2015	4	3401
13	28	4949
14	26	4140
10006	24	748
16019	30	1045
16020	8	3102
18006	11	4742
10007	32	3006
8016	4	2489
15	12	3595
2016	3	4869
14010	31	1540
4018	31	1411
18007	9	156
8017	8	712
2017	5	2179
2018	3	2036
18008	4	1905
14011	9	4378
14012	16	4525
14013	11	2557
8018	31	1673
10008	11	610
18009	30	4888
16021	31	593
18010	8	254
16022	28	4473
14014	14	9
18011	19	2445
16023	14	4305
18012	18	2017
6010	28	4492
2019	8	2297
12013	1	2428
4019	26	3052
2020	13	920
18013	16	4968
14015	8	1472
14016	5	3567
4020	20	4888
10009	8	1996
6011	23	2738
18014	1	1364
10010	11	440
2021	3	3623
16024	18	1662
4021	12	2113
8019	3	1999
18015	19	3924
2022	13	4469
10011	7	1116
16	7	2247
8020	1	2432
4022	16	3523
14017	19	3853
14018	20	2929
2023	6	2795
12014	5	1659
17	7	505
6012	27	936
2024	1	4580
18016	2	2718
6013	26	1206
18	16	4667
18017	21	2678
4023	8	4772
10012	30	3427
19	5	2373
12015	21	4814
12016	8	658
14019	30	757
12017	5	2571
14020	16	643
8021	31	1119
12018	8	3214
6014	25	3496
20	7	4707
4024	21	441
14021	4	720
12019	21	4797
18018	5	709
8022	19	3983
10013	24	3329
8023	9	3137
14022	5	631
8024	17	225
2025	1	4653
6015	31	1182
14023	1	243
6016	1	3605
18019	18	2175
18020	29	41
18021	30	3394
21	23	3064
14024	4	1113
22	7	1452
18022	10	746
14025	21	3699
23	7	1564
24	7	4257
16025	1	1680
10014	27	4008
8025	5	2672
8026	26	3825
14026	24	3534
14027	12	4994
16026	18	1505
10015	28	4715
14028	5	3146
8027	16	2566
4025	13	3189
8028	21	2069
12020	30	3462
18023	20	1996
16027	5	406
25	7	831
4026	3	4413
4027	16	3331
4028	29	1055
18024	4	3225
14029	15	1975
26	23	2455
8029	9	4171
12021	14	4108
14030	27	3517
16028	22	4047
14031	16	2315
14032	3	4017
8030	30	4624
14033	8	2264
14034	20	4046
16029	27	1460
8031	22	864
10016	19	4000
10017	9	2262
18025	25	4563
27	1	1934
2026	20	3349
6017	16	3935
16030	25	2933
14035	13	1013
14036	8	812
12022	31	4945
8032	31	361
14037	23	3397
10018	21	4255
12023	16	57
28	2	1867
14038	24	3199
29	10	2877
18026	22	1026
30	18	2565
4029	13	3313
18027	13	2699
10019	31	3353
8033	2	1949
18028	32	4360
2027	24	1965
4030	18	1471
8034	9	4666
8035	2	2705
6018	14	4802
6019	13	2454
12024	6	2388
12025	26	4926
10020	17	1191
14039	25	4487
6020	30	1897
16031	25	4012
18029	18	1902
6021	4	857
12026	8	710
6022	3	2255
4031	31	1894
18030	25	851
16032	20	3282
8036	10	323
8037	1	341
4032	24	3173
18031	9	4940
12027	6	640
31	3	375
14040	26	2856
2028	10	119
6023	25	4249
2029	1	2225
14041	13	1560
16033	10	4291
12028	8	3341
18032	8	312
4033	11	850
6024	4	1844
8038	13	696
16034	11	4606
8039	3	2640
14042	11	4109
14043	11	1689
8040	21	2800
32	7	1275
4034	3	3503
33	23	1327
4035	19	192
14044	32	3793
4036	18	2674
4037	8	1273
8041	3	3246
8042	10	887
16035	6	4134
6025	29	3446
6026	25	4071
2030	14	4982
8043	2	3733
10021	23	3306
18033	15	3439
14045	25	700
34	7	4251
16036	2	107
12029	18	3671
2031	1	4353
12030	28	2790
12031	13	1907
6027	9	4900
2032	15	4944
12032	2	767
6028	23	2590
12033	6	4387
10022	17	4144
16037	31	2237
2033	20	1731
8044	5	3621
35	7	3974
18034	17	3609
10023	12	4158
12034	10	4244
6029	16	4340
8045	31	4465
36	23	3784
37	7	1364
8046	3	4146
10024	2	2046
18035	30	1109
14046	31	1603
18036	12	3939
18037	24	862
10025	5	313
6030	14	2110
18038	10	1071
8047	20	4679
16038	18	4938
38	7	3075
8048	14	1731
39	6	4531
40	23	2931
2034	1	2806
18039	22	2927
18040	26	2241
16039	27	3763
41	13	4399
12035	5	4050
10026	18	2263
12036	3	2051
14047	19	1193
4038	27	4023
6031	25	1410
6032	19	1920
18041	8	4666
12037	20	4198
4039	11	2186
8049	2	2320
6033	5	2619
8050	22	3832
10027	28	1617
8051	23	4874
6034	22	3574
6035	5	703
8052	10	4583
2035	17	2706
16040	19	3348
16041	30	4123
2036	11	2211
8053	18	1169
10028	10	1809
18042	16	196
42	7	3236
4040	6	3755
18043	24	195
10029	24	2192
4041	27	2225
8054	29	1167
43	3	573
44	7	1271
8055	11	1897
16042	9	4652
8056	21	4641
8057	11	3236
4042	6	4093
18044	31	958
45	7	1860
12038	5	3278
12039	28	1490
16043	3	3306
46	7	3865
47	7	2788
16044	13	4628
2037	3	1402
12040	16	499
6036	14	3755
4043	12	3684
8058	18	129
10030	23	2654
6037	25	2135
4044	23	3535
6038	25	309
48	7	4850
16045	20	4349
2038	15	2620
4045	1	861
14048	18	1717
8059	23	360
12041	8	2368
4046	29	3369
14049	2	2440
2039	23	3386
49	24	1322
10031	11	1158
50	7	551
14050	20	118
8060	3	674
4047	11	2652
6039	24	836
2040	2	4563
2041	28	785
4048	17	3514
51	18	2400
10032	20	1172
18045	1	3933
8061	11	1169
12042	9	2237
10033	8	4287
6040	20	3086
2042	27	2737
10034	5	715
4049	24	2178
18046	8	3562
18047	31	180
10035	10	4461
18048	26	299
18049	18	435
12043	12	98
8062	12	4834
8063	18	3395
18050	1	418
52	7	2177
16046	2	4037
4050	1	4076
18051	3	3222
14051	8	2096
14052	18	1033
10036	29	1962
4051	29	896
14053	28	447
10037	12	716
14054	29	4407
16047	25	3486
12044	30	160
6041	26	679
2043	9	3618
2044	13	2068
12045	1	1900
4052	29	2694
10038	29	108
8064	30	556
6042	30	4508
2045	31	1332
12046	10	1134
12047	29	2720
16048	18	1593
18052	26	2554
14055	22	3384
12048	2	479
2046	15	3359
6043	16	3873
10039	15	856
2047	9	2422
6044	20	3284
53	9	3389
10040	8	4950
16049	12	4282
2048	6	2253
6045	3	2540
12049	14	2711
10041	24	2751
4053	12	2811
8065	24	1990
2049	10	1717
4054	24	408
12050	16	3628
16050	16	1861
14056	20	242
54	7	909
16051	2	796
55	7	2443
10042	16	3620
14057	31	1530
6046	18	4064
14058	13	3490
10043	24	4744
10044	11	3050
2050	26	4651
16052	29	718
18053	1	701
4055	5	2258
18054	22	1270
12051	9	3326
18055	21	2879
8066	20	2561
18056	24	3438
6047	11	1521
6048	5	635
4056	2	2380
14059	31	2662
2051	2	477
6049	12	1205
14060	8	1844
12052	29	2716
6050	5	2222
16053	32	453
16054	22	4455
18057	8	3828
12053	8	1209
56	26	4584
2052	11	1083
18058	27	2890
57	7	1425
6051	9	1709
18059	27	4783
10045	21	1436
2053	5	3664
14061	1	2230
8067	20	1630
58	7	2372
10046	26	4850
6052	18	4867
10047	13	381
6053	22	1327
6054	21	1117
2054	5	1830
18060	19	3887
12054	15	4597
18061	28	2773
18062	1	1471
6055	10	2245
16055	1	2452
18063	22	3946
10048	1	4340
2055	14	2580
16056	14	3538
12055	26	4919
12056	8	4790
6056	18	2445
59	7	826
14062	21	3480
18064	1	3148
2056	4	1246
12057	25	2862
10049	1	4688
4057	5	246
14063	29	2687
60	23	2851
12058	29	3647
12059	5	2494
14064	15	613
4058	31	4206
14065	26	1358
16057	4	412
12060	19	1990
4059	19	418
4060	28	1531
14066	14	1540
